127.0.0.1 - - [20/Dec/2017:20:13:48 +0100] "GET /cargocpc/index.html HTTP/1.1" 200 124
127.0.0.1 - - [20/Dec/2017:20:16:10 +0100] "GET /softfic-controller/ HTTP/1.1" 200 14411
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/css/custom.css HTTP/1.1" 200 628
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:16:11 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:16:12 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:16:14 +0100] "GET /softfic-controller/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Dec/2017:20:16:45 +0100] "GET /softfic-controller/races?page=0&place=O+Carballino&distance=30&minDate=&maxDate=&minDistance=15000&maxDistance=&minPrice=0&maxPrice=30&medicalTest=1&orderType=8 HTTP/1.1" 200 8366
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/ HTTP/1.1" 200 14411
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/css/custom.css HTTP/1.1" 200 628
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:18 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:19 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:19 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:19 +0100] "GET /softfic-controller/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /softfic-controller/signin HTTP/1.1" 200 3197
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:21 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "POST /softfic-controller/authenticate HTTP/1.1" 302 -
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/css/custom.css HTTP/1.1" 200 628
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:23 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:24 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:24 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:24 +0100] "GET /softfic-controller/ HTTP/1.1" 200 26890
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/follow HTTP/1.1" 200 3572
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:25 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/accounts?page=0&email=javi HTTP/1.1" 200 5409
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/css/tables.css HTTP/1.1" 200 1129
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:27 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/myprofile?accId=25 HTTP/1.1" 200 73370
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:28 +0100] "GET /softfic-controller/account/%2025/follow HTTP/1.1" 200 11
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/accounts?page=0&email=javi HTTP/1.1" 200 5410
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/tables.css HTTP/1.1" 200 1129
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/follow HTTP/1.1" 200 3572
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/accounts?page=0&email=paca HTTP/1.1" 200 5022
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/tables.css HTTP/1.1" 200 1129
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:29 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/myprofile?accId=24 HTTP/1.1" 200 74068
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/account/%2024/follow HTTP/1.1" 200 11
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:30 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/racedetails?raceId=1006 HTTP/1.1" 200 15879
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:31 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/ HTTP/1.1" 200 14411
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/css/custom.css HTTP/1.1" 200 628
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:47 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:48 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:48 +0100] "GET /softfic-controller/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [20/Dec/2017:20:17:50 +0100] "GET /softfic-controller/signin HTTP/1.1" 200 3197
127.0.0.1 - - [20/Dec/2017:20:17:50 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:50 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:50 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:50 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:51 +0100] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:51 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "POST /softfic-controller/authenticate HTTP/1.1" 302 -
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/ HTTP/1.1" 200 26890
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/css/utils.css HTTP/1.1" 200 3353
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/css/custom.css HTTP/1.1" 200 628
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /resources/images/softfic.png HTTP/1.1" 404 -
127.0.0.1 - - [20/Dec/2017:20:17:52 +0100] "GET /softfic-controller/resources/images/favicon.ico HTTP/1.1" 200 1150
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "POST /softfic-controller/createrace HTTP/1.1" 302 -
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "GET /softfic-controller/racedetails?raceId=1060 HTTP/1.1" 200 15693
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "GET /softfic-controller/resources/css/core.css HTTP/1.1" 200 513
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "GET /softfic-controller/resources/css/bootstrap.min.css HTTP/1.1" 200 141325
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "GET /softfic-controller/resources/js/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [20/Dec/2017:20:18:01 +0100] "GET /softfic-controller/resources/js/bootstrap.min.js HTTP/1.1" 200 36816
